document_modified,term,term_localName,term_isDefinedBy,term_created,term_modified,term_deprecated,replaces_term,replaces1_term,replaces2_term,label,rdfs_comment,rdf_type
2017-09-23T06:53:00-05:00,http://digir.net/schema/conceptual/darwin/2003/1.0/Island,Island,http://digir.net/schema/conceptual/darwin/2003/1.0/,2003-06-17,2007-04-17,true,,,,Island,"The full, unabbreviated name of the island from which the cataloged item was collected.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
2017-09-23T06:53:00-05:00,http://digir.net/schema/conceptual/darwin/2003/1.0/IslandGroup,IslandGroup,http://digir.net/schema/conceptual/darwin/2003/1.0/,2003-06-17,2007-04-17,true,,,,Island Group,"The full, unabbreviated name of the island group from which the cataloged item was collected.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
2017-09-23T06:53:00-05:00,http://digir.net/schema/conceptual/darwin/2003/1.0/LatLongComments,LatLongComments,http://digir.net/schema/conceptual/darwin/2003/1.0/,2003-06-17,2007-04-17,true,,,,Lat Long Comments,Comments about the LatLong determination.,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
2017-09-23T06:53:00-05:00,http://digir.net/schema/conceptual/darwin/2003/1.0/MaximumDepthInMeters,MaximumDepthInMeters,http://digir.net/schema/conceptual/darwin/2003/1.0/,2003-06-17,2007-04-17,true,http://digir.net/schema/conceptual/darwin/2003/1.0/MaximumDepth,,,Maximum Depth In Meters,"The maximum distance in meters below the surface of the water at which the collection was made; all material collected was at most this deep. Positive below the surface, negative above (e.g., collecting above sea level in tidal areas).",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
2017-09-23T06:53:00-05:00,http://digir.net/schema/conceptual/darwin/2003/1.0/MaximumElevationInMeters,MaximumElevationInMeters,http://digir.net/schema/conceptual/darwin/2003/1.0/,2003-06-17,2007-04-17,true,http://digir.net/schema/conceptual/darwin/2003/1.0/MaximumElevation,,,Maximum Elevation In Meters,The maximum distance in meters above (positive) or below sea level of the collecting locality.,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
2017-09-23T06:53:00-05:00,http://digir.net/schema/conceptual/darwin/2003/1.0/MinimumDepthInMeters,MinimumDepthInMeters,http://digir.net/schema/conceptual/darwin/2003/1.0/,2003-06-17,2007-04-17,true,http://digir.net/schema/conceptual/darwin/2003/1.0/MinimumDepth,,,Minimum Depth In Meters,"The minimum distance in meters below the surface of the water at which the collection was made; all material collected was at least this deep. Positive below the surface, negative above (e.g., collecting above sea level in tidal areas).",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
2017-09-23T06:53:00-05:00,http://digir.net/schema/conceptual/darwin/2003/1.0/MinimumElevationInMeters,MinimumElevationInMeters,http://digir.net/schema/conceptual/darwin/2003/1.0/,2003-06-17,2007-04-17,true,http://digir.net/schema/conceptual/darwin/2003/1.0/MinimumElevation,,,Minimum Elevation In Meters,The minimum distance in meters above (positive) or below sea level of the collecting locality.,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
2017-09-23T06:53:00-05:00,http://digir.net/schema/conceptual/darwin/2003/1.0/OriginalCoordinateSystem,OriginalCoordinateSystem,http://digir.net/schema/conceptual/darwin/2003/1.0/,2003-06-17,2007-04-17,true,,,,Original Coordinate System,"The name of the system in which the original geographic coordinates were recorded (e.g., ""decimal degrees"", ""degrees minutes seconds"", ""UTM"", etc.).",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
2017-09-23T06:53:00-05:00,http://digir.net/schema/conceptual/darwin/2003/1.0/OtherCatalogNumbers,OtherCatalogNumbers,http://digir.net/schema/conceptual/darwin/2003/1.0/,2003-06-17,2007-04-17,true,http://digir.net/schema/conceptual/darwin/2003/1.0/PreviousCatalogNumber,,,Other Catalog Numbers,A list of previous or alternative fully qualified catalog numbers of the cataloged item whether in the current collection or in any other.,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
2017-09-23T06:53:00-05:00,http://digir.net/schema/conceptual/darwin/2003/1.0/Preparations,Preparations,http://digir.net/schema/conceptual/darwin/2003/1.0/,2003-06-17,2007-04-17,true,http://digir.net/schema/conceptual/darwin/2003/1.0/PreparationType,,,Preparations,"A concatenated list of preparations and preservation methods (skin, skull, skeleton, whole animal (ETOH), slide, etc.) for the cataloged item.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
