rdf_type,replacing_term,replacing_term_localName,replacing_term_namespace,replaced_term,replaced_term_namespace,replaced_term_localName
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://digir.net/schema/conceptual/darwin/2003/1.0/Preparations,Preparations,http://digir.net/schema/conceptual/darwin/2003/1.0/,http://digir.net/schema/conceptual/darwin/2003/1.0/PreparationType,http://digir.net/schema/conceptual/darwin/2003/1.0/,PreparationType
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://digir.net/schema/conceptual/darwin/2003/1.0/OtherCatalogNumbers,OtherCatalogNumbers,http://digir.net/schema/conceptual/darwin/2003/1.0/,http://digir.net/schema/conceptual/darwin/2003/1.0/PreviousCatalogNumber,http://digir.net/schema/conceptual/darwin/2003/1.0/,PreviousCatalogNumber
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/curatorial/RelatedCatalogedItems,RelatedCatalogedItems,http://rs.tdwg.org/dwc/curatorial/,http://digir.net/schema/conceptual/darwin/2003/1.0/RelatedCatalogedItems,http://digir.net/schema/conceptual/darwin/2003/1.0/,RelatedCatalogedItems
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://digir.net/schema/conceptual/darwin/2003/1.0/RelatedCatalogedItems,RelatedCatalogedItems,http://digir.net/schema/conceptual/darwin/2003/1.0/,http://digir.net/schema/conceptual/darwin/2003/1.0/RelatedCatalogItem,http://digir.net/schema/conceptual/darwin/2003/1.0/,RelatedCatalogItem
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/dwcore/Remarks,Remarks,http://rs.tdwg.org/dwc/dwcore/,http://digir.net/schema/conceptual/darwin/2003/1.0/Remarks,http://digir.net/schema/conceptual/darwin/2003/1.0/,Remarks
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/dwcore/ScientificName,ScientificName,http://rs.tdwg.org/dwc/dwcore/,http://digir.net/schema/conceptual/darwin/2003/1.0/ScientificName,http://digir.net/schema/conceptual/darwin/2003/1.0/,ScientificName
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/dwcore/AuthorYearOfScientificName,AuthorYearOfScientificName,http://rs.tdwg.org/dwc/dwcore/,http://digir.net/schema/conceptual/darwin/2003/1.0/ScientificNameAuthor,http://digir.net/schema/conceptual/darwin/2003/1.0/,ScientificNameAuthor
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/dwcore/Sex,Sex,http://rs.tdwg.org/dwc/dwcore/,http://digir.net/schema/conceptual/darwin/2003/1.0/Sex,http://digir.net/schema/conceptual/darwin/2003/1.0/,Sex
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/dwcore/SpecificEpithet,SpecificEpithet,http://rs.tdwg.org/dwc/dwcore/,http://digir.net/schema/conceptual/darwin/2003/1.0/Species,http://digir.net/schema/conceptual/darwin/2003/1.0/,Species
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/dwcore/StateProvince,StateProvince,http://rs.tdwg.org/dwc/dwcore/,http://digir.net/schema/conceptual/darwin/2003/1.0/StateProvince,http://digir.net/schema/conceptual/darwin/2003/1.0/,StateProvince
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/dwcore/InfraspecificEpithet,InfraspecificEpithet,http://rs.tdwg.org/dwc/dwcore/,http://digir.net/schema/conceptual/darwin/2003/1.0/Subspecies,http://digir.net/schema/conceptual/darwin/2003/1.0/,Subspecies
