"identifier","context","text"
"biome:notes","Notes for Biome http://rs.tdwg.org/dwc/terms/biome","Cette propriété peut être utilisée pour identifier les biomes terrestres, d'eau douce et marins. Il est recommandé d'utiliser des vocabulaires contrôlés tels que ceux adoptés par le World Wildlife Fund (WWF) / Global 200 (Olson et al. 1998). "
"biomeType:label","Label for Biome Type http://rs.tdwg.org/dwc/terms/biomeType","Type de Biome"
"biomeType:definition","Definition for Biome Type http://rs.tdwg.org/dwc/terms/biomeType","Une classification de haut niveau du type de biome dans lequel des objets ont été collectés ou dans lequel un événement a eu lieu."
"biomeType:notes","Notes for Biome Type http://rs.tdwg.org/dwc/terms/biomeType","Le biomeType se situe à un niveau intermédiaire entre la biosphère (la somme globale de tous les écosystèmes de la Terre) et les biomes plus détaillés au niveau terrestres, marins et dulçaquicoles. Ces derniers doivent être répertoriés à l'aide de la propriété EcologicalContext.biome."
"bioregion:label","Label for Bioregion http://rs.tdwg.org/dwc/terms/bioregion","Biorégion"
"bioregion:definition","Definition for Bioregion http://rs.tdwg.org/dwc/terms/bioregion","Une zone écologiquement et géographiquement définie qui est plus petite qu'une écozone, mais plus grande qu'une écorégion ou un écosystème."
"bioregion:notes","Notes for Bioregion http://rs.tdwg.org/dwc/terms/bioregion","Ce concept est analogue à celui des provinces marines pour les régions marines. Il est recommandé d'utiliser des vocabulaires contrôlés tels que ceux adoptés par le World Wildlife Fund (WWF) / Global 200 (Olson et al. 1998), à l'origine de ce concept. "
"ecoregion:label","Label for Ecoregion http://rs.tdwg.org/dwc/terms/ecoregion","Écorégion"
"ecoregion:definition","Definition for Ecoregion http://rs.tdwg.org/dwc/terms/ecoregion","Une zone écologiquement et géographiquement définie qui est plus petite qu'une biorégion, elle-même plus petite qu'un domaine biogéographique. Les écorégions couvrent des zones relativement vastes de terre ou d'eau et contiennent des assemblages caractéristiques et géographiquement distincts de communautés et d'espèces."
"ecoregion:notes","Notes for Ecoregion http://rs.tdwg.org/dwc/terms/ecoregion","Il est recommandé d'utiliser des vocabulaires contrôlés tels que ceux adoptés par le World Wildlife Fund (WWF) / Global 200 (Olson et al. 1998)."
"ecosystem:label","Label for Ecosystem http://rs.tdwg.org/dwc/terms/ecosystem","Écosystème"
"ecosystem:definition","Definition for Ecosystem http://rs.tdwg.org/dwc/terms/ecosystem","Un mode spécifique de classification écologique qui prend en compte les quatre éléments de la définition des écosystèmes : une composante biotique, un complexe abiotique, les interactions entre eux et au sein de ceux-ci, et l'espace physique qu'ils occupent."
"habitat:label","Label for Habitat http://rs.tdwg.org/dwc/terms/habitat","Habitat"
"habitat:definition","Definition for Habitat http://rs.tdwg.org/dwc/terms/habitat",""
"hasIdentifier:label","Label for Has Identifier http://rs.tdwg.org/dwc/terms/hasIdentifier","A pour Identifiant"
"hasIdentifier:definition","Definition for Has Identifier http://rs.tdwg.org/dwc/terms/hasIdentifier","Cette propriété fait référence à une ou plusieurs instances associées de la classe Identifier."
"hasMeasurementOrFact:label","Label for Has Measurement Or Fact http://rs.tdwg.org/dwc/terms/hasMeasurementOrFact","A pour Mesure ou Fait"
"hasMeasurementOrFact:definition","Definition for Has Measurement Or Fact http://rs.tdwg.org/dwc/terms/hasMeasurementOrFact","Cette propriété fait référence à une ou plusieurs instances associées de la classe MeasurementOrFact."
"hasReference:label","Label for Has Reference http://rs.tdwg.org/dwc/terms/hasReference","A pour Référence"
"hasReference:definition","Definition for Has Reference http://rs.tdwg.org/dwc/terms/hasReference","Cette propriété fait référence à une ou plusieurs instances associées de la classe Reference."
"eventName:label","Label for Event Name http://rs.tdwg.org/dwc/terms/eventName","Intitulé de l'événement"
"eventName:definition","Definition for Event Name http://rs.tdwg.org/dwc/terms/eventName","La dénomination communément utilisée pour identifier l'événement ou s'y référer."
"hasEcologicalContext:label","Label for Has Ecological Context http://rs.tdwg.org/dwc/terms/hasEcologicalContext","A pour Contexte Écologique"
