"identifier","context","text"
"subjectPartLiteral:rdfs_comment","Comment for Subject Part (literal) http://rs.tdwg.org/dwc/terms/subjectPartLiteral",""
"subjectPartLiteral:skos_scopeNote","Usage for Subject Part (literal) http://rs.tdwg.org/dwc/terms/subjectPartLiteral",""
"filterLowPass:label","Label for Low-pass Filter Frequency http://rs.tdwg.org/dwc/terms/filterLowPass",""
"filterLowPass:rdfs_comment","Comment for Low-pass Filter Frequency http://rs.tdwg.org/dwc/terms/filterLowPass",""
"filterLowPass:skos_scopeNote","Usage for Low-pass Filter Frequency http://rs.tdwg.org/dwc/terms/filterLowPass",""
"filterHighPass:label","Label for High-pass Filter Frequency http://rs.tdwg.org/dwc/terms/filterHighPass",""
"filterHighPass:rdfs_comment","Comment for High-pass Filter Frequency http://rs.tdwg.org/dwc/terms/filterHighPass",""
"filterHighPass:skos_scopeNote","Usage for High-pass Filter Frequency http://rs.tdwg.org/dwc/terms/filterHighPass",""
"Digital3DResource:label","Label for Digital 3D Resource http://rs.tdwg.org/dwc/terms/Digital3DResource",""
"Digital3DResource:rdfs_comment","Comment for Digital 3D Resource http://rs.tdwg.org/dwc/terms/Digital3DResource",""
"Digital3DResource:dcterms_description","Description for Digital 3D Resource http://rs.tdwg.org/dwc/terms/Digital3DResource",""
"Digital3DResource:skos_scopeNote","Usage for Digital 3D Resource http://rs.tdwg.org/dwc/terms/Digital3DResource",""
"commentDate:label","Label for Date and Time of Comment http://rs.tdwg.org/dwc/terms/commentDate",""
"commentDate:rdfs_comment","Comment for Date and Time of Comment http://rs.tdwg.org/dwc/terms/commentDate",""
"commentDate:skos_scopeNote","Usage for Date and Time of Comment http://rs.tdwg.org/dwc/terms/commentDate",""
"CVtermLiteral:label","Label for Subject Category (literal) http://rs.tdwg.org/dwc/terms/CVtermLiteral",""
"CVtermLiteral:rdfs_comment","Comment for Subject Category (literal) http://rs.tdwg.org/dwc/terms/CVtermLiteral",""
"CVtermLiteral:skos_scopeNote","Usage for Subject Category (literal) http://rs.tdwg.org/dwc/terms/CVtermLiteral",""
